,Place,Event,Time,Date,Subject
0,my job,I,,,
1,Friday,Our work schedule,,,
2,,she,,,
3,Monday morning,He,,,
4,,The difference,,,Darkyn
5,,Monday,,,Maria
6,Monday,I,,,
7,,,,,
8,only the four Dawkins,Pumpkin Green,,,Brandon Westlake
9,Pennsylvania,The latest entry,,,
10,,Last Monday Simpson,,,Simpson
11,Main Street,I,,,
12,Easter eggs,,,,
13,,Carmen,,,Carmen
14,Monday,they,,,Dean
15,,you,,,
16,,Fred,,,
17,,he,,,Dean
18,this latest problem,We,,,
19,,,,,
20,,,,,
21,,Gerald,,,
22,Monday,I,,,Daniel Brennan
23,our first session,everyone,,,Howie
24,Monday,,,,
25,,,,,
26,spring,that,,,
27,,I,,,
28,,They,,,
29,,,,,Byrne
30,the street,the TV,,,Vinnie
31,,,,,
32,his talk,It,,,Monica Cutler
33,Monday,I,,,
34,Monday,he,,,
35,,I,,,
36,the window seat,Alex,,,Alex
37,Monday,I,,,
38,Monday,who,,,
39,two nights,she,,,
40,,the customary Saturday market,,,
41,the first hour,Mercury,,,Moon
42,a few followers,who,,,John
43,the first week,the actual fast,,,Quinquagesima
44,the bishop,,,,
45,the first Monday,,,,
46,the first Monday,,,,
47,January,,,,
48,,,,,
49,the 11th,The charter,,,
50,the sale,,,,
51,Monday night,The incident,,,
52,Louisville,Mr. Anagnos,,,Anagnos
53,the vigil,the prior,,,Wenlock
54,tons,,,,
55,45 shillings,,,,
56,,Hemp,,,
57,the first Monday,,,,
58,Friday morning,,,,
59,Michaelmas,James I.,,,Michaelmas
60,every new moon,,,,
61,Bunhill Fields,he,,,
62,church par quelques freres,he,,,
63,Wednesday,,,,
64,Easter Monday,,,,
65,Monday,which,,,treva Dei
66,the seasons,the truce,,,the Blessed Virgin
67,a charter,,,,
68,Tilly,which,,,Der Meistertrunk
69,September,,,,
70,January,each new administration,,,
71,January,,,,
72,sixty days,it,,,
73,,,,,
74,,Easter Monday,,,
75,which,it,,,William de Fortibus
76,Monday,,,,
77,writing,,,,
78,the usual time,,,,Easter
79,Tuesday,A Leap Year,,,
80,Regard,,,,
81,,,,,
82,the first Tuesday,,,,
83,the night,,,,Perez
84,Trinity,,,,St Jude
85,Monday morning,Talbot,,,
86,the 1st,the prior,,,St Lucy
87,October,The houses,,,
88,SS,1320 Archbishop Melton,,,Apostle
89,that,,,,&c.
90,the following January,each new administration,,,
91,October,It,,,
92,Monday,Cromwell,,,
93,"""Tiverton kersies",,,,George II
94,"the ""Bathers","Millet's ""Golden Age",,,Lamb
95,Matins,,,,
96,the present day,,,,
97,Trinity,,,,
98,November,,,,
99,January,The legislature,,,
100,Wednesday,,,,
101,the feast,John Pakington,,,John Pakington
102,Monday,,,,Elizabeth
103,August,,,,
104,pain,he,,,
105,the first Monday,The general state election,,,
106,the first Monday,,,,
107,20 householders,it,,,John Pakington
108,a light,the rabbis,,,
109,Tuesday,which,,,earl
110,the loss,that,,,
111,August,,,,
112,the first Monday,,,,
113,other times,,,,
114,the same day,,,,Michaelmas
115,August,,,,
116,more than 20 days,the governor,,,
117,accordance,the trustees,,,
118,a borough,it,,,Richard de Grenville
119,Richard de Grenville,Another charter,,,St Margaret
120,,,,,
121,Monday,I,,,
122,Hell,Deidre,,,
123,Monday morning,I,,,
124,spring,that,,,
125,,pro football,,,
126,Monday,The two detectives,,,Baratto
127,,Anderson,,,Anderson
128,a Monday morning,,,,
129,Monday,I,,,
130,a performance,,,,
131,Monday 16th,,,,
132,Monday,,,,
133,Monday 11th April,Adoration,,,
134,a small aftershock,,,,
135,Monday evenings,Series,,,
136,Glasgow Southern General Hospital,,,,
137,Monday,who,,,Brian Clough
138,connection,,,,
139,,the photos,,,David Black
140,,I,,,
141,,,,,
142,a dank basement,pretension free songs,,,
143,Saturday,2 pm,,,
144,the promise,,,,
145,the unfailing beneficence,The Prime Minister,,,
146,,recent family blockbuster,,,
147,Monday AM,we,,,
148,Monday,we,,,Lady Amos
149,,that,,,
150,Monday,I,,,
151,the afternoon,,,,
152,a man,he,,,
153,,you,,,
154,May,Around 750 people,,,
155,£ 8.95 - 8oz steak,only - Two people,,,
156,,the program,,,
157,Aston,The article,,,
158,,The first vote,,,
159,the weekend,,,,
160,Jim Middlemas,The archery contest,,,Graham Brough
161,the decision,,,,
162,courier,,,,
163,,I,,,
164,,All parties,,,
165,Monday,Scapa Flow diver,,,
166,,,,,
167,Monday February,,,,
168,Monday,BBC - A train,,,Surrey
169,Friday,,,,
170,,the claimant,,,
171,Manic Monday Limited Looking,,,,
172,10 a.m.,Anderson,,,Anderson
173,a major face-lift,,,,
174,7.30pm,,,,
175,something,you,,,
176,football,the Monday five-a-side footy,,,
177,Monday gasoline station forecourts,,,,
178,the Monday,who,,,
179,,,,,
180,Monday,,,,
181,the Colston Hall,The Beach Boys,,,
182,Monday 7th August,Gorse fire,,,
183,Monday,,,,
184,,I,,,
185,,I,,,
186,the monday,we,,,
187,,more Things,,,
188,,,,,
189,8.00 am,The service,,,
190,,,,,
191,,We,,,
192,this latest indiscretion,Big Brother,,,
193,,the official launch,,,
194,,Westminster Today's press,,,
195,the existing trial system,His proposals,,,
196,a way,I,,,
197,the synapse,Monday's session,,,
198,the Monday,the parlor maid,,,
199,the Monday,they,,,
200,Sunday Closed,Availability,,,
201,Monday,The suit,,,
202,,Age Concern,,,
203,the Run,the gear shift,,,
204,,,,,Library
205,payment,The TES,,,
206,,,,,Virgin Trains
207,last Monday,they,,,
208,FF1600,,,,
209,,,,,
210,Manchester,the tie,,,
211,Whites,I,,,Abingdon
212,,,,,Bob Rowley
213,Monday,who,,,
214,Monday,they,,,
215,stationary lunges,you,,,
216,,,,,
217,Copenhagen City Hall,,,,
218,several driving offenses,Sanday resident,,,
219,,,,,
220,,Senate Majority Leader Bill Frist,,,Bill Frist
221,magistrates,A man,,,Southend
222,,,,,cairns
223,a liveaboard safari,you,,,
224,Monday 11 April,we,,,
225,3pm,I,,,
226,the 200m Freestyle event,She,,,
227,sore shins,Colin Cameron,,,Keith Andrews
228,"a short, pleated denim skirt",Williams,,,Williams
229,Monday July 24th,the mayor,,,
230,seven o'clock,We,,,
231,Monday night,we,,,
232,a Monday,I,,,
233,Monday,,,,
234,the early hours,A severe storm,,,
235,all present,,,,
236,India,it,,,Russell
237,Monday,A COLLISION,,,
238,BBC local news monday teatime,,,,
239,the afternoon,which,,,
240,your ears,,,,
241,,,,,
242,Bolton County,Bolton County,,,
243,Bank Holiday,Whoever,,,
244,,a men's health,,,
245,one service,Jetstream,,,
246,the Fire Station,The car wash,,,
247,regard,I,,,
248,the British,,,,
249,a gang,Sosa,,,Sosa
250,his PhD thesis,Neil Pemberton,,,Neil Pemberton
251,Monday,,,,
252,Monday 10th July,,,,
253,,,,,
254,Monday night,him,,,Matt
255,Monday,the complete rout,,,Bruce
256,the pulpit cross,the Spital sermons,,,
257,that,It,,,Elizabeth
258,her female friends,,,,
259,the spread,the Northamptonshire Association,,,
260,,Mr. Anagnos,,,Anagnos
261,you,we,,,
262,Israel,the Israeli pullout,,,Sharon
263,,,,,
264,,The external walls,,,
265,Google access,Monday,,,
266,a one-off gig,that,,,
267,the top floor,I,,,
268,several driving offenses,Sanday resident,,,
269,,Easter Re-opening Celebrations Easter bank,,,Easter Re-
270,Monday,you,,,
271,Monday,the Prime Minister,,,
272,Monday nights,,,,
273,Monday,,,,
274,a Monday,I,,,
275,a surprise trip,A GROUP,,,
276,,,,,cairns
277,the Eurostar,,,,
278,16 year olds,four Anglican bishops,,,
279,sore shins,Colin Cameron,,,Keith Andrews
280,a slalom course,Monday Race training,,,
281,Sourceforge,I,,,
282,Sunday 10th August,Smog levels,,,Smog
283,Monday July 24th,the mayor,,,
284,South Wales,,,,Vale of Glamorgan
285,a vehicle,,,,
286,Easter Monday,,,,Grafton Hunt
287,the storefront window,the puppies,,,
288,Farndon,,,,
289,Monday,It,,,
290,Monday,U.S. warplanes,,,
291,BBC local news monday teatime,,,,
292,,,,,
293,a holder,Sunday,,,Jon Spencer
294,the first Monday,,,,
295,,a men 's health,,,
