,Place,Event,Time,Date,Subject
0,['my job'],['I'],[],['the first Monday'],[]
1,['Friday'],['Our work schedule'],[],"['five intense days', 'Monday', 'Friday']",[]
2,[],"['they', 'she']","['mid-morning', 'three hours']",['Monday'],[]
3,['Monday morning'],['He'],"['afternoon', 'morning']","['Friday', 'Monday']",[]
4,[],['The difference'],['night'],['Monday'],['Darkyn']
5,[],['Monday'],[],['Monday'],['Maria']
6,['Monday'],['I'],[],['Monday'],[]
7,[],[],[],"['Monday', 'two year anniversary']",[]
8,['only the four Dawkins'],"['the arrival', 'Pumpkin Green']",[],['Monday'],"['Bird Song', 'Brandon Westlake']"
9,"['Parkside', 'Pennsylvania']",['The latest entry'],[],['Monday'],[]
10,[],['Last Monday Simpson'],[],['Last Monday'],['Simpson']
11,"['Monday', 'Main Street']",['I'],[],['Monday'],[]
12,"['Philadelphia', 'Monday', 'Philadelphia', 'Easter eggs']",[],[],['Monday'],[]
13,[],"['Felipa', 'the children', 'Carmen']",['Monday morning'],[],"['Felipa', 'Carmen']"
14,"['the proceedings', 'Monday']","['Dean', 'they']",[],['Monday'],['Dean']
15,[],['you'],['morning'],['Monday'],[]
16,[],['Fred'],[],"['Monday', 'Tuesday']",[]
17,[],"['his body', 'he']",[],['Monday'],['Dean']
18,['this latest problem'],['We'],[],['next Monday'],[]
19,[],[],[],"['Monday', 'Wednesday']",[]
20,[],[],[],['Monday'],[]
21,[],['Gerald'],['evening'],['Monday'],[]
22,['Monday'],['I'],[],['Monday'],['Daniel Brennan']
23,"['Quinn', 'our first session']","['Quinn', 'everyone']",[],"['the day', 'Monday']",['Howie']
24,"['line', 'Monday']",[],[],['Monday'],[]
25,[],[],['morning'],['Monday'],[]
26,['spring'],"['the dance master', 'that']",[],"['Monday', 'months']",[]
27,[],"['I', 'I']",['mornings'],['Monday'],[]
28,[],['They'],"['evening', 'morning']","['Monday', 'Wednesday']",[]
29,[],[],[],"['Monday', 'the day']",['Byrne']
30,"['Monday', 'the street']","['Vinnie', 'he', 'the TV']",[],['Monday'],['Vinnie']
31,[],[],[],"['Sunday', 'Monday']",[]
32,['his talk'],['It'],[],['Monday'],['Monica Cutler']
33,['Monday'],['I'],[],['Monday'],[]
34,"['his landlady', 'Monday']","['Cleary', 'he', 'he']",[],['Monday'],[]
35,[],"['I', 'I']",['tomorrow night'],['Monday'],[]
36,['the window seat'],"['Carmen', 'Alex']",['evening'],['Monday'],['Alex']
37,['Monday'],['I'],[],"['the four weeks', 'Monday']",[]
38,['Monday'],"['You', 'you', 'who']",[],['Monday'],[]
39,"['him', 'two nights']","['she', 'she']",[],"['Monday', 'the week', 'two nights']",[]
40,[],['the customary Saturday market'],[],"['the market day', 'Monday', 'Saturday']",[]
41,"['Venus', 'the first hour', 'the first hour']","['the Sun', 'Venus', 'Mercury']","['the first hour of Sunday', 'the first hour of Monday']","['the eighth, the fifteenth', 'the twenty-third hour', 'the twenty-fourth']",['Moon']
42,"['Windsor', 'Monday', 'Tuesday', 'the other hand', 'John', 'Windsor', 'a few followers']","['which', 'who']",[],"['Monday the 15th to Tuesday the 23rd of June', 'each day']",['John']
43,"['the Monday', 'a week', 'TvpoOl yca', 'the Monday', 'the first week']","['Sexagesima', 'The Greek Lent', 'the actual fast']",[],"['Monday', 'a week', 'Monday', 'this week', 'the first week']",['Quinquagesima']
44,"['the 8th', 'the bishop']",[],[],"['the 8th of May', 'the 26th of July', 'the first Monday', 'October', '1227', '12 4', '0 and 1300']",[]
45,"['the Wednesday', 'the first Monday']",[],[],"['Wednesday', 'the first Monday in January']",[]
46,['the first Monday'],[],[],"['annual', 'the first Monday', 'April', 'Monday', 'October']",[]
47,"['the first Monday', 'January']",[],[],"['Biennial', 'the first Monday in January']",[]
48,[],[],[],"['1792 two', 'annual', 'Monday', 'the 10th of October', 'Saturday']",[]
49,"['Langport', 'Lent', 'Langport', 'the 28th', 'the 11th']",['The charter'],[],"['1562', 'annual', 'the 28th of June', 'November', 'Monday']",[]
50,['the sale'],[],[],['Monday'],[]
51,"['the Vibe Awards', 'Santa Monica', 'California', 'Monday night']",['The incident'],['Monday night'],[],[]
52,"['Louisville', 'Louisville']",['Mr. Anagnos'],[],['Monday'],['Anagnos']
53,['the vigil'],['the prior'],[],"['1227', 'the vigil, day', 'Monday']",['Wenlock']
54,"['shorthand', 'him', 'Monday', 'his publishers', 'tons']",[],[],"['Sunday', 'Monday']",[]
55,"['Monday', 'the survey', '45 shillings']",[],[],['Monday'],[]
56,[],['Hemp'],[],"['between 1827 and 1849', '1792', 'Saturday', 'Monday', 'Sunday']",[]
57,"['Burlington House', 'the first Monday', 'May', 'the first Monday']",[],[],"['annually', 'the first Monday', 'May', 'the first Monday', 'August']",[]
58,"['Monday morning', 'Friday morning']",[],"['six hours', 'morning', 'Friday morning']",['Monday'],[]
59,"['Whitsun', 'his charter', 'Monday', 'Whitsun week', 'Michaelmas']",['James I.'],[],"['Monday', 'Tuesday', 'Monday']","['James I.', 'Michaelmas']"
60,"['every Monday', 'every new moon']",[],[],"['all above seven years of age', 'every Monday and Thursday', 'the 21st or 22nd of April']",[]
61,"['Moorfields', 'Bunhill Fields', 'a matter', 'great suffering', ""Ropemaker's Alley"", 'Monday', 'Bunhill Fields']",['he'],[],['Monday the 26th of April 1731'],[]
62,"['trouble', 'church par quelques freres']","['he', 'he', 'he', 'he']",['afternoon'],"['next day', 'Monday']",[]
63,['Wednesday'],[],[],"['Wednesday', 'Friday', 'Monday', 'Thursday', 'the fast days']",[]
64,['Easter Monday'],['Easter Monday'],[],"['August', 'September']",[]
65,"['Pyrenees', 'the Synod', 'the Pyrenees', 'noon', 'Saturday', 'Monday']","['The treuga', 'which']",['noon'],"['1027', 'Saturday', 'Monday']",['treva Dei']
66,"['this time', 'the Wednesday evening', 'the Monday morning', 'every week', 'most places', 'the seasons']",['the truce'],['morning'],"['Wednesday', 'Monday', 'every week', 'the seasons']",['the Blessed Virgin']
67,"['Palm Sunday', 'a charter']",[],[],"['the 27th of December', 'the 22nd of July', 'Monday', '1289']",[]
68,['Tilly'],['which'],[],"['Monday', '1631']",['Der Meistertrunk']
69,"['evennumbered years', 'the first Tuesday', 'the first Monday', 'a direct primary election', 'September']",[],[],"['years', 'the first Tuesday', 'the first Monday in', 'November', 'Tuesday', 'September']",[]
70,"['a term', 'the second Monday', 'January']",['each new administration'],[],"['four years', 'the second Monday in January']",[]
71,"['odd-numbered years', 'the second Monday', 'January']",[],[],"['odd-numbered years', 'the second Monday in January']",[]
72,"['special session', 'the governor', 'Helena', 'the constitution', 'sixty days']",['it'],[],"['the first Monday of January in odd numbered years', 'sixty days']",[]
73,[],[],[],"['the market days', 'Saturday', 'Monday']",[]
74,[],"['Black Monday', 'Easter Monday']",[],[],[]
75,"['Albemarle', 'William de Fortibus', 'Monday', 'which']",['it'],[],"['1221', 'Saturday', 'Monday', 'the day']",['William de Fortibus']
76,['Monday'],[],[],"['Sunday', 'Monday']",[]
77,"['January', 'writing']",[],[],['Monday in January'],[]
78,"['Easter week', 'the usual time']",[],[],"['Easter week', 'Tuesday', 'twenty-one days', 'two calendar months']",['Easter']
79,"['The Same Day', 'Example', 'Sunday', 'Monday', 'Sunday', 'Tuesday']","['Leap Year Begins With', 'The Year Following Will Begin', 'Two Successive Years', 'A Common Year Begins', 'The Following Year', 'A Leap Year']",[],"['Sunday', 'Monday', 'Sunday', 'Tuesday']",[]
80,"['E', 'F', 'G', 'A', 'Regard']",['Every Sunday Through The Year Will Have The Same Character E'],[],"['Sunday', 'Monday', 'Tuesday', 'Wednesday']",[]
81,[],"['A Year Immediately Following An Embolismic Year', 'The Computed New Moon Is']",['Late As'],['Monday'],[]
82,"['every fourth year', 'the years', 'the first Tuesday']",[],[],"['every fourth year', 'the years', 'the first Tuesday', 'the first Monday of November']",[]
83,"[""Perez's table"", 'bravos', 'the night']","['Easter Monday,']",['the night'],['the 31st of March 1578'],['Perez']
84,"['the feasts', 'Trinity']",[],[],"['1300', '1353', '1529', 'Monday', 'the 14th of March', 'the 19th of September', 'November']","['Michaelmas', 'St Simon', 'St Jude']"
85,"['Talbot', 'the process', 'Too-ton or 200-ton lots', 'such a way', '20-ton lots', 'Monday morning']",['Talbot'],"['morning', 'night']","['Monday', 'Saturday']",[]
86,"['St Finbar', 'Shrove', 'lord', 'a Saturday market', 'the 1st']",['the prior'],[],"['1316', 'Monday', '1690', 'Saturday', 'the 1st of May, 10th of September', 'Tuesday']",['St Lucy']
87,"['the first Monday', 'October']",['The houses'],[],"['each year', 'the first Monday', 'October']",[]
88,"['a market', 'the archbishop', 'the feasts', 'SS']",['1320 Archbishop Melton'],[],"['1227', 'Monday', 'the vigil and day', '1320', 'five days']","['St Luke', 'Melton', 'St James', 'Apostle']"
89,"['the feast', 'that']",[],[],"['Monday', 'Friday']",['&c.']
90,"['even-numbered years', 'the following January']",['each new administration'],[],"['the first Tuesday', 'the first Monday in', 'November', 'January']",[]
91,"['the capital', 'April', 'October']",['It'],[],"['annually', 'the first Monday in', 'April', 'October']",[]
92,['Monday'],['Cromwell'],[],"['1655', 'the market day', 'Monday', 'Tuesday']",[]
93,"['rich clothiers', '""Tiverton kersies']",[],[],"['the 16th century', '1608', 'Monday']","['Tiverton', 'Risdon', 'Tiverton', 'George II']"
94,"['this date', 'the ""Bathers']","['Millet\'s ""Golden Age']",[],['Monday'],"['Millet', 'Lamb']"
95,"['some omissions', 'Matins']",[],[],"['each day', 'Monday to Saturday', 'Sunday']",[]
96,['the present day'],[],[],"['weekly', 'Friday', 'yearly', 'the first Monday', 'May', 'the present day']",[]
97,['Trinity'],[],[],['Monday'],[]
98,"['Maine', 'the second Monday', 'September', 'even numbered years', 'which', 'November']",[],[],"['annual', '1897', 'the second Monday in September', 'November']",[]
99,"['the second Monday', 'January']",['The legislature'],[],['the second Monday in January of the odd-numbered years'],[]
100,"['Sunday', 'Monday', 'Wednesday']",[],[],"['1202-1203', 'Sunday to Monday', '1214', 'Wednesday']",[]
101,"['the day', 'the feast']",['John Pakington'],[],"['3579', 'annual', 'the day', 'Sunday', 'Monday']",['John Pakington']
102,"['the reign', 'Monday']",[],[],"['Monday', 'annual']",['Elizabeth']
103,"['Whit Monday', 'August']",[],[],"['Monday', 'Tuesday', 'August']",[]
104,"['the 15th', 'the 18th', 'Dr Mead', ""6 o'clock"", 'that state', 'pain']","['He', 'he', 'he', 'he']","[""6 o'clock""]","['the 15th of March', 'the 18th', 'Monday the 20th of March 1727']",[]
105,"['October', 'the first Tuesday', 'the first Monday']",['The general state election'],[],"['October', 'the first Tuesday', 'the first Monday', 'November']",[]
106,"['the first Tuesday', 'the first Monday']",[],[],"['the first Tuesday', 'the first Monday', 'November']",[]
107,"['Monday', 'Sir John Pakington', 'ten minutes', 'the scheme', 'houses', '20 householders']","['the cabinet', 'which', 'it']",['ten minutes'],"['Monday', 'the 25th', '6 a year']",['John Pakington']
108,"['such a case', 'a light']",['the rabbis'],[],"['three days', 'Monday, Thursday, Monday']",[]
