,Place,Event,Time,Date,Subject
0,,,,the first Monday,
1,,,,Friday,
2,,,three hours,Monday,
3,,,morning,Monday,
4,,,night,Monday,Darkyn
5,,,,Monday,Maria
6,,,,Monday,
7,,,,two year anniversary,
8,,,,Monday,Brandon Westlake
9,Pennsylvania,,,Monday,
10,,,,Last Monday,Simpson
11,,,,Monday,
12,Philadelphia,,,Monday,
13,,,Monday morning,,Carmen
14,,,,Monday,Dean
15,,,morning,Monday,
16,,,,Tuesday,
17,,,,Monday,Dean
18,,,,next Monday,
19,,,,Wednesday,
20,,,,Monday,
21,,,evening,Monday,
22,,,,Monday,Daniel Brennan
23,Quinn,,,Monday,Howie
24,,,,Monday,
25,,,morning,Monday,
26,,,,months,
27,,,mornings,Monday,
28,,,morning,Wednesday,
29,,,,the day,Byrne
30,,,,Monday,Vinnie
31,,,,Monday,
32,,,,Monday,Monica Cutler
33,,,,Monday,
34,,,,Monday,
35,,,tomorrow night,Monday,
36,,,evening,Monday,Alex
37,,,,Monday,
38,,,,Monday,
39,,,,two nights,
40,,,,Saturday,
41,Venus,,the first hour of Monday,the twenty-fourth,Moon
42,Windsor,,,each day,John
43,,Sexagesima,,the first week,Quinquagesima
44,,,,0 and 1300,
45,,,,the first Monday in January,
46,,,,October,
47,,,,the first Monday in January,
48,,,,Saturday,
49,Lent,,,Monday,
50,,,,Monday,
51,California,,Monday night,,
52,Louisville,,,Monday,Anagnos
53,,,,Monday,Wenlock
54,,,,Monday,
55,,,,Monday,
56,,,,Sunday,
57,,,,August,
58,,,Friday morning,Monday,
59,Whitsun,,,Monday,Michaelmas
60,,,,the 21st or 22nd of April,
61,Bunhill Fields,,,Monday the 26th of April 1731,
62,,,afternoon,Monday,
63,,,,the fast days,
64,,Easter Monday,,September,
65,Pyrenees,,noon,Monday,treva Dei
66,,,morning,the seasons,the Blessed Virgin
67,Palm Sunday,,,1289,
68,Tilly,,,1631,Der Meistertrunk
69,,,,September,
70,,,,the second Monday in January,
71,,,,the second Monday in January,
72,,,,sixty days,
73,,,,Monday,
74,,Black Monday,,,
75,Albemarle,,,the day,William de Fortibus
76,,,,Monday,
77,,,,Monday in January,
78,,,,two calendar months,Easter
79,,The Year Following Will Begin,,Tuesday,
80,,Every Sunday Through The Year Will Have The Same Character E,,Wednesday,
